Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
95,Life Insurance Corp. of India,"$103,547.6",5.10%,"$4,944",10.30%,"$637,867","98,463",12,3
96,Nestlé,"$103,505.2",4.60%,"$12,475.4",28.50%,"$150,422","2,70,000",10,30
97,Enel,"$103,311.4",-30.10%,"$3,716.7",110.10%,"$215,621.8","61,055",-38,30
98,ENI,"$102,501.7",-27.10%,"$5,157.7",-64.70%,"$157,506.1","33,142",-37,30
99,Petrobras,"$102,409",-17.70%,"$24,884",-32.10%,"$217,067","46,730",-28,30
100,SK,"$101,968.8",-3.80%,$-594.8,-169.90%,"$159,770.8","1,14,950",-8,9
101,E.ON,"$101,280.1",-16.70%,$558.9,-71%,"$125,365.6","72,242",-28,30
102,Gazprom,"$100,252.5",-40.30%,"$-7,383.4",-141.90%,"$320,303.3","4,92,200",-61,28
103,Huawei Investment & Holding,"$99,470.3",4.20%,"$12,274.4",132.40%,"$178,026.6","2,07,000",8,15
104,Société Générale,"$99,163.4",56.40%,"$2,695.1",27%,"$1,716,418.2","1,24,089",104,28
105,Bosch Group,"$99,020.7",6.70%,"$2,271.3",66.10%,"$119,648.8","4,29,416",13,30
106,COFCO,"$97,765.1",-11.30%,"$1,270.3",-28.10%,"$102,941","1,11,630",-19,30
107,Itochu,"$97,074.1",-5.80%,"$5,547.5",-6.20%,"$95,818.7","1,36,334",-11,30
108,PowerChina,"$97,034.9",-2%,$775.9,25%,"$198,668.8","1,84,567",-3,13
109,Pemex,"$96,978.8",-18.20%,$457.1,-90.90%,"$136,067.6","1,28,616",-29,30
110,Tesla,"$96,773",18.80%,"$14,997",19.40%,"$106,618","1,40,473",42,4
111,Morgan Stanley,"$96,194",45.90%,"$9,087",-17.60%,"$1,193,693","80,006",89,27
112,Sinopharm,"$96,072.2",2.10%,"$1,149.5",4.40%,"$82,842.7","2,02,426",1,12
113,Brookfield,"$95,924",3.40%,"$1,130",-45%,"$490,095","2,40,000",4,8
114,Royal Ahold Delhaize,"$95,834.8",4.80%,"$2,025.9",-24.30%,"$52,817.5","2,32,000",7,30
115,Johnson & Johnson,"$95,195",0.30%,"$35,153",95.90%,"$167,558","1,31,900",-3,24
116,Indian Oil,"$94,273",-10.50%,"$5,042.3",313.50%,"$57,878.1","31,942",-22,30
117,Archer Daniels Midland,"$93,935",-7.50%,"$3,483",-19.80%,"$54,631","41,008",-19,30
118,Crédit Agricole,"$93,358.1",8%,"$6,862.6",20%,"$2,418,155.5","75,125",16,30
119,Christian Dior,"$93,136.5",11.80%,"$6,815",11.80%,"$155,592","1,97,141",24,24
120,Nippon Telegraph and Telephone,"$92,539.7",-4.70%,"$8,853.1",-1.20%,"$195,769.2","3,38,467",-11,30
121,Mitsui,"$92,196.4",-12.80%,"$7,359.7",-11.90%,"$111,754.4","53,602",-28,30
122,Carrefour,"$91,790.6",1.90%,"$1,793.5",26.50%,"$62,040","3,05,333",3,30
123,PepsiCo,"$91,471",5.90%,"$9,074",1.80%,"$100,495","3,18,000",12,30
124,United Parcel Service,"$90,958",-9.40%,"$6,708",-41.90%,"$70,857","3,82,550",-23,30
125,PTT,"$90,418.7",-6%,"$3,221.1",23.70%,"$100,741.3","30,772",-15,21
126,AXA,"$90,405.8",-17.10%,"$7,771.7",10.70%,"$711,783.7","94,705",-35,30
127,FedEx,"$90,155",-3.60%,"$3,972",3.80%,"$87,143","4,23,228",-13,30
128,Sony,"$90,091.8",5.70%,"$6,715.5",-3%,"$225,548.8","1,13,000",12,30
129,China FAW Group,"$89,485",2.10%,"$2,864.2",-25.50%,"$94,499.6","1,19,658",2,20
130,Engie,"$89,257.7",-18.20%,"$2,387",950.70%,"$214,976.8","97,297",-41,29
131,Walt Disney,"$88,898",7.50%,"$2,354",-25.20%,"$205,579","1,99,125",14,30
132,Orlen,"$88,717.6",42.30%,"$4,921.8",-34.60%,"$67,205.5","66,554",84,16
133,Dell Technologies,"$88,425",-13.60%,"$3,211",31.50%,"$82,089","1,20,000",-36,24
134,DHL Group,"$88,385.3",-11%,"$3,975.1",-29.50%,"$73,795","5,51,233",-31,30
135,China Telecommunications,"$87,961.5",0.90%,"$2,150.8",4.40%,"$151,916.7","3,91,691",-3,25
136,Nissan Motor,"$87,773.5",12.10%,"$2,952",80.10%,"$131,299.8","1,41,855",24,30
137,Royal Bank of Canada,"$87,498.7",68.10%,"$11,019",-10.20%,"$1,444,726.9","91,398",133,30
138,Zhejiang Rongsheng Holding Group,"$86,535.6",0.40%,$74.6,-56.10%,"$57,831","23,373",-2,4
139,Lowe's,"$86,377",-11%,"$7,726",20%,"$41,795","2,26,000",-31,27
140,Tesco,"$86,231.3",8.20%,"$1,486.9",64.70%,"$59,497.9","2,25,659",16,30
141,Tencent Holdings,"$86,028.3",4.40%,"$16,275.2",-41.80%,"$222,216.2","1,05,417",6,8
142,Xiamen ITG Holding Group,"$85,818.8",-16.80%,$178.9,-38.20%,"$50,244.4","34,289",-47,8
143,BYD,"$85,082",35%,"$4,243.5",71.70%,"$95,740.6","7,03,504",69,3
144,Nippon Life Insurance,"$83,090",16.70%,"$2,854",226.80%,"$645,391.8","85,740",37,30
145,Siemens,"$82,931.9",6.50%,"$8,476.7",110.50%,"$153,510.1","3,20,000",17,30
146,Japan Post Holdings,"$82,905.5",0.80%,"$1,859.1",-41.60%,"$1,975,196.1","2,21,387",2,28
147,Aviation Industry Corp. of China,"$82,654.1",1.20%,"$1,644.1",7.60%,"$187,461.3","3,84,000",3,16
148,Mitsubishi UFJ Financial Group,"$82,270.3",20%,"$10,314.8",25.10%,"$2,669,641.2","1,45,412",39,23
149,Procter & Gamble,"$82,006",2.30%,"$14,653",-0.60%,"$120,829","1,07,000",5,30
150,Wuchan Zhongda Group,"$81,952.4",-4.40%,$510.9,-12.10%,"$23,406.5","26,354",-12,14
151,Seven & I Holdings,"$80,124.6",-9%,"$1,568.9",-25.10%,"$70,788.7","1,17,540",-22,19
152,Albertsons,"$79,237.7",2.10%,"$1,296",-14.40%,"$26,221.1","1,96,650",12,20
153,ENEOS Holdings,"$79,020.5",-13.60%,"$1,993.5",87.70%,"$67,031.8","50,269",-31,30
154,Bank of Communications,"$78,757.1",0.70%,"$13,098.6",-4.40%,"$1,980,962","94,275",7,16
155,Energy Transfer,"$78,586",-12.60%,"$3,935",-17.30%,"$113,698","13,786",-29,11
156,U.S. Postal Service,"$78,383",-0.30%,"$-6,478",-111.60%,"$45,289","5,82,781",3,30
157,Jiangxi Copper,"$78,243.2",4.40%,$371.2,-20%,"$31,154","32,746",14,12
158,People's Insurance Co. of China,"$78,181.7",-14.60%,"$3,153.2",-13.30%,"$219,318.9","1,75,881",-38,15
159,Boeing,"$77,794",16.80%,"$-2,222",,"$137,012","1,71,000",38,30
160,China North Industries Group,"$76,506.9",-7.50%,"$1,933",8.10%,"$78,674.5","2,16,528",-14,15
161,Pacific Construction Group,"$76,433",-3.80%,"$5,035.3",-3%,"$59,040.1","2,93,125",-4,11
162,Kia,"$76,419.4",14%,"$6,720.2",60.40%,"$62,240.7","52,871",34,13
163,Sysco,"$76,324.7",11.20%,"$1,770.1",30.30%,"$22,821.2","71,750",23,30
164,Dai-ichi Life Holdings,"$76,304.8",8.50%,"$2,219.4",56.20%,"$446,636.1","59,495",18,30
165,Pertamina,"$75,787.8",-10.70%,"$4,441.4",16.70%,"$91,123.6","40,415",-24,11
166,Vinci,"$75,550.9",14.90%,"$5,083.1",13.50%,"$130,945.4","2,79,426",36,24
167,Petronas,"$75,409.6",-11.70%,"$16,320.1",-22.30%,"$168,475.2","54,105",-28,28
168,Toronto-Dominion Bank,"$75,063.3",54.10%,"$7,995.6",-40.90%,"$1,410,162.9","1,03,257",126,25
169,Lukoil,"$75,012.8",,"$13,551.9",,"$95,935.4","1,07,596",,24
170,Shaanxi Coal & Chemical Industry,"$74,776.7",-1.40%,"$1,113.7",-19.70%,"$100,857.7","1,40,142",-1,10
171,Shenghong Holding Group,"$74,700.8",22%,$548.5,28.20%,"$31,761.6","56,863",51,5
172,BASF,"$74,487.2",-18.90%,$243.2,,"$85,481.6","1,11,991",-53,30
173,China Poly Group,"$73,998.5",9.30%,$988.2,-23.30%,"$254,160.5","1,02,834",18,10
174,Groupe BPCE,"$73,774.7",54.60%,"$3,031.3",-27.10%,"$1,705,477.1","97,835",126,15
175,Shandong Weiqiao Pioneering Group,"$73,484.5",-1.90%,"$1,192.3",28%,"$39,326","97,281",-3,13
176,JBS,"$72,863.2",0.30%,$-212.5,-107.10%,"$42,483.1","2,72,565",1,15
177,Alimentation Couche-Tard,"$71,856.7",14.40%,"$3,090.9",15.20%,"$29,049.2","1,28,000",37,11
178,State Bank of India,"$71,844",21.90%,"$8,106",17%,"$807,979.1","2,32,296",57,19
179,China Merchants Bank,"$71,514.6",-1.10%,"$20,708.7",0.90%,"$1,553,788.9","1,16,529",,13
180,Oil & Natural Gas,"$71,466.1",-9.20%,"$5,947.6",34.80%,"$85,215.3","36,549",-22,18
181,Guangzhou Automobile Industry Group,"$71,386.1",-7.70%,$345.4,-44.60%,"$59,258.7","1,10,847",-16,12
182,UBS Group,"$71,245",65.90%,"$27,849",265%,"$1,717,246","1,12,842",165,30
183,Airbus,"$70,751",14.50%,"$4,096.1",-8.30%,"$131,291.1","1,47,893",36,30
184,Toyota Tsusho,"$70,498.4",-3.10%,"$2,293.3",9.20%,"$46,686.9","69,517",-8,16
185,Zhejiang Geely Holding Group,"$70,356.8",16.50%,$812.6,-14%,"$94,120.3","1,43,994",40,13
186,Taiwan Semiconductor Manufacturing,"$69,415.8",-8.70%,"$27,350.4",-18%,"$180,507.6","76,478",-18,10
187,XMXYG,"$69,286.9",-17.20%,$14.5,-95.20%,"$46,717","33,214",-45,7
188,RTX,"$68,920",2.80%,"$3,195",-38.50%,"$161,869","1,85,000",7,30
189,Itau Unibanco Holding,"$68,455",19.50%,"$6,630.1",15.20%,"$524,123.6","95,702",18,11
190,ArcelorMittal,"$68,275",-14.50%,$919,-90.10%,"$93,917","1,26,756",-35,20
191,General Electric,"$67,954",-11.20%,"$9,481",4113.80%,"$163,045","1,25,000",-24,30
192,Beijing Automotive Group,"$67,852.2",0.90%,$328.1,10.80%,"$65,757","90,000",1,12
193,Lockheed Martin,"$67,571",2.40%,"$6,920",20.70%,"$52,456","1,22,000",6,30
194,Koç Holding,"$67,482.7",23.90%,"$3,037.6",-28%,"$96,811.7","1,19,306",65,23
195,American Express,"$67,364",21.10%,"$8,374",11.50%,"$261,108","74,600",58,30
196,Hitachi,"$67,313.8",-16.30%,"$4,081.5",-14.90%,"$80,817.9","2,68,655",-43,30
197,Roche Group,"$67,269.8",-3.30%,"$12,797.1",-1.70%,"$107,533.6","1,03,605",-13,30
198,Wilmar International,"$67,155.3",-8.50%,"$1,524.8",-36.50%,"$61,808.7","1,14,123",-24,16
199,Caterpillar,"$67,060",12.80%,"$10,335",54.10%,"$87,476","1,13,200",31,30
200,Banco Bilbao Vizcaya Argentaria,"$66,978.1",46.40%,"$8,669",28.40%,"$856,591.6","1,21,486",118,30
201,Korea Electric Power,"$66,977.2",22.60%,"$-3,692.4",,"$185,048.1","48,696",57,30
202,MetLife,"$66,905",-4.30%,"$1,578",-37.90%,"$687,584","45,000",-19,30
203,AEON,"$66,727",-1.90%,$312.2,95.80%,"$86,485.8","3,81,084",-14,30
204,Lloyds Banking Group,"$66,697.6",399.60%,"$6,785.7",0.80%,"$1,123,442.5","62,569",,29
